,x,y,emoji
313,-14.939774845901812,-1.5003966215574362,🇪🇬
314,-25.198169585807808,4.054590906362828,🇪🇭
315,-26.208587847276295,6.203676939059812,🇪🇷
316,-8.773850744201306,12.336909764204904,🇪🇸
317,-14.110467039070732,-2.0749366573231405,🇪🇹
318,-13.811414162181057,-2.501048359373586,🇪🇺
319,-23.669930260719564,6.109979572351086,🇫🇮
320,-25.606826372571238,5.448508108303351,🇫🇯
321,-21.98162848959648,-0.3039365767048817,🇫🇰
322,-8.341360064139398,1.455438956728622,🇫🇲
323,-20.89851871920075,1.478892108036997,🇫🇴
324,-28.826162097710533,4.148496538790046,🇫🇷
325,-26.052850041995445,1.188010833577322,🇬
